NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Hitchki,1200,Modern Indian,,,,,,,,,,
Baba Falooda,400,Desserts,,,,,,,,,,
Chin Chin Chu,1800,Asian,,,,,,,,,,
Butterfly High,1000,Modern Indian,Mumbai,Bandra Kurla Complex,https://www.zomato.com/mumbai/butterfly-high-bandra-kurla-complex/info,1,Bar,12noon to 130am(Mon-Sun),Very Good,4.3,1200,
BKC  DIVE,1200,North Indian,,,,,,,,,,
Flea Bazaar Café,800,American,,,,,,,,,,
Persian Darbar,1300,Biryani,,,,,,,,,,
Tanatan,1500,Modern Indian,Mumbai,Juhu,https://www.zomato.com/mumbai/tanatan-juhu/info,1,Casual Dining,12noon to 130am(Mon-Sun),Excellent,4.7,1842,
Cafe Safar,600,Chinese,,,,,,,,,,
Plum by Bent Chair,1800,Asian,Mumbai,Kamala Mills Compound,https://www.zomato.com/mumbai/plum-by-bent-chair-lower-parel/info,1,Casual Dining,12noon to 1am(Mon-Sun),Excellent,4.7,1876,
Angrezi Dhaba,1500,North Indian,,,,,,,,,,
Raasta,1200,Continental,,,,,,,,,,
Todi Mill Social,1400,American,,,,,,,,,,
Burn - Bar & Kitchen,1100,Continental,,,,,,,,,,
145 Bandra,1300,Mexican,,,,,,,,,,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Cafe Zoe,2000,European,,,,,,,,,,
Ustaadi,1200,Asian,,,,,,,,,,
Cafe Maaz,350,Chinese,,,,,,,,,,
Carter's Blue,900,North Indian,,,,,,,,,,
Rajasthan,700,North Indian,,,,,,,,,,
Harry's Bar + Cafe,1500,Asian,,,,,,,,,,
New Ajwa Family Restaurant,500,North Indian,,,,,,,,,,
Singh Saab,1600,North Indian,,,,,,,,,,
Kasbah Grand,1400,North Indian,,,,,,,,,,
Elementaria Bakery Cafe,800,Cafe,,,,,,,,,,
Angrezi Patiyalaa,1200,North Indian,,,,,,,,,,
Door No.1,1500,Asian,,,,,,,,,,
Natural Ice Cream,150,Desserts,,,,,,,,,,
Punjab Grill,2000,North Indian,,,,,,,,,,
Locco Eatery & Bar,1400,North Indian,,,,,,,,,,
